epoch,train_loss,val_loss,val_iou,val_dice,learning_rate,test_loss,test_iou,test_dice
1,0.6141402320783647,0.5483026323111161,0.517959347885588,0.6618243300396464,6.953488849914117e-05,0.5439801704951807,0.510438164188934,0.6501656521175694
2,0.5145594140545267,0.5371438504561133,0.5464604153581287,0.6878041981355004,6.953488849914117e-05,0.5319410091234053,0.5479497966080149,0.6853522080334112
3,0.467956821205186,0.4568315747639407,0.595835663702177,0.7260931127745173,6.953488849914117e-05,0.45311319101860753,0.6004340175420461,0.7278758433151713
4,0.4405783033761822,0.5075824714225271,0.5287903362642163,0.6659085303544998,6.953488849914117e-05,0.49086285875356306,0.5458047822276199,0.6781157885822037
5,0.4108210907119219,0.3998619194911874,0.6312409341335297,0.7583004709171213,6.953488849914117e-05,0.39279723788808824,0.6381856780118467,0.761311640236481
6,0.3800174972561539,0.3778994637339011,0.6350004264841909,0.7616645946450855,6.953488849914117e-05,0.3731581210992615,0.6381833898368081,0.761021846937334
7,0.3485135015894155,0.3579998492546704,0.6804420675920404,0.7961152908594712,6.953488849914117e-05,0.3640245222353292,0.6817919140162277,0.7934551048941624
8,0.3221542224532268,0.3747352818432061,0.6944737667622773,0.8066506087779999,6.953488849914117e-05,0.3655324341913568,0.6978001881113621,0.8071763140201959
9,0.2990032524847593,0.3042152634133463,0.6954053258118422,0.8063072743623153,6.953488849914117e-05,0.30365755554602364,0.6890154421475707,0.7998016546324249
10,0.2729917830619656,0.2825489973892336,0.7032974628002747,0.8128893498493277,6.953488849914117e-05,0.28412743854600686,0.694441305499338,0.8036160143983238
11,0.2540141651864911,0.2917361578539661,0.7379128343385198,0.8387094697226649,6.953488849914117e-05,0.295761564278934,0.7252458544023097,0.8286065201923093
12,0.2367617594169788,0.3166218767671481,0.7224630376567012,0.8274762675814007,6.953488849914117e-05,0.3181178131165898,0.7179747363727598,0.822227153832661
13,0.219776878469303,0.2606149832515613,0.7505723918261735,0.8465491688769796,6.953488849914117e-05,0.2581021551801256,0.7447568257617249,0.8411684427120991
