epoch,train_loss,val_loss,val_iou,val_dice,learning_rate,test_loss,test_iou,test_dice
1,0.6062042640279168,0.534454635526661,0.5621336459039771,0.6994222724448899,2.8e-05,0.4983833909034729,0.5566496588289738,0.6979820966720581
2,0.5084291042193122,0.4635381989747933,0.5538228169278195,0.6800521426696109,4.6e-05,0.3880811668932438,0.5842839777469635,0.7167669668793678
3,0.4591844123990639,0.4218875641792851,0.5949659129001698,0.7145510599865539,6.4e-05,0.3214678533375263,0.6403580814599991,0.7660149902105331
4,0.4098657377712104,0.3887038290166579,0.6401231388213975,0.758827430595641,8.2e-05,0.3089542403817177,0.6691345810890198,0.7909052968025208
5,0.3763069897566152,0.3359819742592821,0.6927568296969521,0.7999009414064867,0.0001,0.27169824838638307,0.7021237045526505,0.8134671688079834
6,0.3566784935638956,0.3302319485076662,0.7030410932597932,0.8065226689632199,0.0001,0.26061045192182064,0.7069926887750626,0.8169213369488716
7,0.3255946117088846,0.3312265006901251,0.692907723248908,0.798705684052702,0.0001,0.24597253575921058,0.7197220981121063,0.8269063174724579
8,0.3053463866691226,0.3145763552089667,0.7306232408836841,0.8294917222324096,0.0001,0.2724625661969185,0.7100058451294899,0.8230974912643433
9,0.2958639513539231,0.2901303166493206,0.7446634712857556,0.837181158657971,0.0001,0.25333288237452506,0.7218898043036461,0.8292656242847443
10,0.2806749792526598,0.3397007024158602,0.7597920572545378,0.8520358231061117,0.0001,0.40519932880997656,0.7030914068222046,0.8105258911848068
11,0.2720148825775022,0.2516403697360226,0.7788779300273805,0.8650316049790945,0.0001,0.23239476308226586,0.7541518718004226,0.8515824347734451
12,0.2685622205228909,0.2545350307545564,0.7625995161731504,0.8508535439231746,0.0001,0.22410650216042996,0.7406302407383919,0.8405337631702423
13,0.2561278359397598,0.2649754103090938,0.7797814420248265,0.8666532533856761,0.0001,0.2882325295358896,0.7290193364024162,0.83142941147089
14,0.2482861542831296,0.2370073903395045,0.7875777596646235,0.8711437339512796,9.9e-05,0.2277107287198305,0.7504947796463967,0.8479789406061172
15,0.2388163898140192,0.2379779661625988,0.7928194423136689,0.8754616003363457,9.9e-05,0.2271691795438528,0.7617419764399529,0.8585864663124084
16,0.240998358020316,0.2329371844104531,0.7982999604885003,0.8787982225439614,9.9e-05,0.2234702531248331,0.760397058725357,0.8548127442598343
17,0.2372597072111523,0.2201559723050551,0.7995872677112787,0.878418303517064,9.9e-05,0.1954169563949108,0.7734902545809745,0.865244323015213
18,0.2264917083084583,0.2293515550364922,0.8008316857335531,0.8795025204612195,9.9e-05,0.22042201347649099,0.765449906885624,0.8595772981643677
19,0.2202100603152876,0.2144356603384949,0.8089349792829842,0.8849777138047897,9.9e-05,0.20194945707917214,0.7854612916707993,0.872423505783081
20,0.2180104006243788,0.2211801780364982,0.7937715930493002,0.8730673027607795,9.9e-05,0.21290858685970307,0.7648616179823875,0.8591943055391311
21,0.2088086699014124,0.2245202762132976,0.8027709252952155,0.8798497308482945,9.8e-05,0.20167686529457568,0.7754153355956077,0.8654760688543319
22,0.2057036688632291,0.2061912260909119,0.8112459507491557,0.8867661379403351,9.8e-05,0.2018005521968007,0.7856353029608727,0.8728585481643677
23,0.2066046389062767,0.207965072927713,0.8167677387069358,0.8911651953974429,9.8e-05,0.2041724942624569,0.7819365501403809,0.8683573335409165
24,0.1999022052015947,0.2026524702501458,0.8170796429010806,0.8900278923692657,9.8e-05,0.20888170562684535,0.7916375607252121,0.8772420883178711
25,0.1943565351564599,0.2323866697387648,0.8066203028855746,0.8828287538410946,9.7e-05,0.22504922542721034,0.7773925602436066,0.8650629758834839
26,0.1913820083212593,0.1902692011689119,0.8242351179842625,0.8955182958618364,9.7e-05,0.16938014663755893,0.8074152439832687,0.8864496946334839
27,0.1906336133732744,0.2003709195927829,0.8236141890369426,0.8959914939479082,9.7e-05,0.18563112542033194,0.8046579837799073,0.8857450097799301
28,0.1877351427126838,0.1948787991726852,0.8191577437867505,0.8918155407459408,9.7e-05,0.17119489777833224,0.8117309764027596,0.8886868894100189
29,0.1852675627755082,0.2010099611386819,0.8046092914875854,0.8813851832761828,9.6e-05,0.18224781695753337,0.805399489402771,0.8864402115345001
30,0.1841953921982127,0.2183319224271184,0.7987953426214732,0.8763374419588906,9.6e-05,0.19125632531940936,0.7661257654428482,0.8585637181997299
31,0.1798750551660423,0.1900331114024004,0.8271152954223122,0.8966438316031209,9.6e-05,0.18708799351006747,0.8102914839982986,0.8879890203475952
32,0.1719757442808021,0.185322830202969,0.83401680770138,0.9033830194208672,9.5e-05,0.19174770824611187,0.7919972017407417,0.8769340485334396
33,0.1724546799112273,0.1887765164289664,0.8205580593740562,0.8927844208671099,9.5e-05,0.1767810843884945,0.8026394307613373,0.8829342484474182
34,0.1724205232508804,0.1861245828812294,0.8333461850139292,0.9022101287266138,9.5e-05,0.21798863522708417,0.7652835369110107,0.860302409529686
