epoch,train_loss,val_loss,val_iou,val_dice,learning_rate,test_loss,test_iou,test_dice
1,0.6008184613740962,0.5391327557356461,0.532846792884495,0.676723582589108,5.249316403541608e-05,0.5358454039877265,0.5309470317187638,0.6714337093364189
2,0.5065526230179745,0.4586606621742248,0.5821569037178288,0.7130685979905336,5.249316403541608e-05,0.45580399906352614,0.5773239278539906,0.7058039911276119
3,0.4601345253379448,0.4298566307710564,0.6075005686801412,0.7409052628537883,5.249316403541608e-05,0.4235437826260327,0.614243280484716,0.7441134997368118
4,0.4271798315255538,0.4155496566191963,0.6029298461001852,0.735842755307322,5.249316403541608e-05,0.40872059819743173,0.6102787154381721,0.738947007564473
5,0.393336309686951,0.3714551122292228,0.6446919700373774,0.769190295882847,5.249316403541608e-05,0.3674072263334388,0.6523016964456761,0.7725440162538865
6,0.3584674039612646,0.3482584635848584,0.6955460672793181,0.8078995839409207,5.249316403541608e-05,0.3431844052793415,0.6923657833928795,0.8036780214238213
7,0.3215263918366121,0.3607948519613432,0.6932831575041232,0.8066328051297561,5.249316403541608e-05,0.35470976652290687,0.6958672311365133,0.8053892272699429
8,0.2887918306109698,0.2903615877680156,0.6789471260879351,0.794220507144928,5.249316403541608e-05,0.2909070724328489,0.6742843159637649,0.7902902424026815
9,0.2644553768408039,0.2732283119922098,0.7162309807279835,0.8234536064707715,5.249316403541608e-05,0.27541725315167814,0.7090324497931203,0.8164284272004162
10,0.2426848094100537,0.2596916170871776,0.7177727261315221,0.8228299825087838,5.249316403541608e-05,0.2626213517296896,0.7157244080417193,0.8201590961154522
11,0.224708789554627,0.2354112643262614,0.7556896417037301,0.8512524379336316,5.249316403541608e-05,0.23653344842906088,0.7523308320148142,0.8480371053064835
12,0.2064890030609524,0.2277699099934619,0.7487017797387164,0.8463965796906016,5.249316403541608e-05,0.22839269103747878,0.7470687603586602,0.8432200297278714
13,0.1870389315907074,0.2252016695945159,0.7320683196834896,0.8335161144318788,5.249316403541608e-05,0.2306647716604354,0.7239422814077303,0.8255648158915071
14,0.1761651799568663,0.2191724738349085,0.768803155940512,0.8604164991689764,5.249316403541608e-05,0.22754841109620483,0.7594501981133497,0.8519009844455578
15,0.1616366680549538,0.2055439738475758,0.7754189994024194,0.8647310837455418,5.249316403541608e-05,0.20742323138500046,0.7711615143143277,0.8602779991102335
16,0.1543389419903574,0.1957345760386923,0.779402318208114,0.8675741436688796,5.249316403541608e-05,0.19908358755326785,0.7742790354633565,0.8623660239285688
17,0.1425756379638029,0.1806705513078233,0.7866501108459805,0.8728177003238512,5.249316403541608e-05,0.185480848527403,0.7784395975909333,0.8661855736198592
18,0.1335807358846068,0.2083805145128913,0.7731767037640447,0.8631168396576591,5.249316403541608e-05,0.2130802823822061,0.772633979823486,0.8610094153416452
19,0.1259742722563121,0.1858821137119894,0.7849169269852017,0.8711175452107969,5.249316403541608e-05,0.1914051999372239,0.783006139073199,0.8684067401713135
20,0.1184837169054409,0.1680067077926967,0.7932989143806956,0.8772240384765293,5.249316403541608e-05,0.17885168063263698,0.7833804126882722,0.8689432583930026
21,0.1124011460367752,0.1785249982191168,0.7893194426660952,0.8739870112875233,5.249316403541608e-05,0.18305356479708068,0.7867907896195228,0.8708987197358721
22,0.1085507067163353,0.1722208572470623,0.791834153558897,0.8752191598000734,5.249316403541608e-05,0.17441187042750075,0.7878138553904526,0.872084652591252
23,0.1037152175913038,0.1757287710257198,0.7991377115249634,0.880355311476666,5.249316403541608e-05,0.1846109327486277,0.7905048627267257,0.8730793655909644
24,0.0964454792682891,0.1669820866183094,0.8019857004932736,0.8828166645506154,5.249316403541608e-05,0.1763439275939642,0.7958890843794306,0.8772236419068464
25,0.0943868113681674,0.1665582057574521,0.8087904699470686,0.8872584272985873,5.249316403541608e-05,0.17612070060858254,0.7993838847349567,0.8794569249502739
